"WARNAME","STATENAME","ISO3C","STARTDATE","ENDDATE","TOTAL_WAR_TIME","TOTAL_BATTLE_DEATHS","LAT","LNG"
"World War II","Brazil","BRA",06-JUL-44,07-MAY-45,305,13365089,52.518553,14.614435
"World War II","United Kingdom","GBR",03-SEP-39,14-AUG-45,2172,13365089,52.518553,14.614435
"World War II","Italy","ITA",10-JUN-40,02-SEP-43,1179,13365089,52.518553,14.614435
"World War II","Belgium","BEL",10-MAY-40,28-MAY-40,18,13365089,52.518553,14.614435
"World War II","Poland","POL",01-SEP-39,27-SEP-39,26,13365089,52.518553,14.614435
"World War II","Bulgaria","BGR",13-DEC-41,08-SEP-44,1000,13365089,52.518553,14.614435
"World War II","USSR","RUS",22-JUN-41,07-MAY-45,1415,13365089,52.518553,14.614435
"World War II","South Africa","ZAF",06-SEP-39,14-AUG-45,2169,13365089,52.518553,14.614435
"World War II","Norway","NOR",09-APR-40,09-JUN-40,61,13365089,52.518553,14.614435
"World War II","Netherlands","NLD",10-MAY-40,14-MAY-40,4,13365089,52.518553,14.614435
"World War II","Finland","FIN",25-JUN-41,19-SEP-44,1182,13365089,52.518553,14.614435
"World War II","Romania","ROU",09-SEP-44,07-MAY-45,240,13365089,52.518553,14.614435
"World War II","Ethiopia","ETH",24-JAN-41,03-JUL-41,160,13365089,52.518553,14.614435
"World War II","Greece","GRC",25-OCT-40,23-APR-41,180,13365089,52.518553,14.614435
"World War II","France","FRA",07-JUL-40,14-JUL-41,372,13365089,52.518553,14.614435
