"WARNAME","STATENAME","ISO3C","STARTDATE","ENDDATE","TOTAL_WAR_TIME","TOTAL_BATTLE_DEATHS","LAT","LNG"
"Gulf War","France","FRA",16-JAN-91,11-APR-91,85,41466,29.362458,47.698599
"Gulf War","Kuwait","KWT",02-AUG-90,11-APR-91,252,41466,29.362458,47.698599
"Gulf War","Syria","SYR",16-JAN-91,11-APR-91,85,41466,29.362458,47.698599
"Bosnian Independence","Bosnia","BIH",07-APR-92,13-MAY-92,36,5240,44.026656,17.962806
"Bosnian Independence","Croatia","HRV",07-APR-92,13-MAY-92,36,5240,44.026656,17.962806
"Azeri_Armenian","Azerbaijan","AZE",06-FEB-93,12-MAY-94,460,14000,39.707792,46.183919
"Azeri_Armenian","Armenia","ARM",06-FEB-93,12-MAY-94,460,14000,39.707792,46.183919
"Cenepa Valley","Ecuador","ECU",09-JAN-95,27-FEB-95,49,1500,4.545201,-78.450167
"Cenepa Valley","Peru","PER",09-JAN-95,27-FEB-95,49,1500,4.545201,-78.450167
"Badme Border","Ethiopia","ETH",06-MAY-98,12-DEC-00,951,120000,14.7256,37.8048
"Badme Border","Eritrea","ERI",06-MAY-98,12-DEC-00,951,120000,14.7256,37.8048
"War for Kosovo","Italy","ITA",24-MAR-99,10-JUN-99,78,5002,42.552398,20.872216
"War for Kosovo","United States of America","USA",24-MAR-99,10-JUN-99,78,5002,42.552398,20.872216
"War for Kosovo","United Kingdom","GBR",24-MAR-99,10-JUN-99,78,5002,42.552398,20.872216
"War for Kosovo","Germany","DEU",24-MAR-99,10-JUN-99,78,5002,42.552398,20.872216
"War for Kosovo","Netherlands","NLD",24-MAR-99,10-JUN-99,78,5002,42.552398,20.872216
"War for Kosovo","Turkey","TUR",24-MAR-99,10-JUN-99,78,5002,42.552398,20.872216
"War for Kosovo","France","FRA",24-MAR-99,10-JUN-99,78,5002,42.552398,20.872216
"Kargil War","India","IND",08-MAY-99,17-JUL-99,70,1172,34.1529,73.9277
"Kargil War","Pakistan","PAK",08-MAY-99,17-JUL-99,70,1172,34.1529,73.9277
