"WAR_YEAR","COUNTRY_GAINING","COUNTRY_LOSING","POP","AREA","CONSEQUENCE"
1850,"United Kingdom","Denmark",40000,40,"cession"
1851,"Brazil","Uruguay",,104000,"cession"
1851,"Netherlands","Portugal",,1,"cession"
1852,"United Kingdom","Myanmar",870180,83657,"conquest"
1853,"United States","Mexico",96000,76768,"cession"
1854,"United Kingdom","Oman",350000,73,"cession"
1855,"Egypt","Turkey",600000,1021081,"secession"
1856,"Turkey","Russia",,12264,"cession"
1856,"Turkey","Russia",,18557,"cession"
1858,"Russia","China",40000,282473,"cession"
1859,"Honduras","United Kingdom",,33701,"cession"
1859,"Brazil","Venezuela",,156000,"cession"
1859,"Netherlands","Portugal",1057800,15850,"cession"
1859,"Portugal","Netherlands",850300,18989,"cession"
1860,"Nicaragua","United Kingdom",,21367,"cession"
1860,"United Kingdom","China",,6,"cession"
1860,"France","Italy",,14778,"cession"
1860,"Spain","Morocco",,1505,"annexation"
1860,"Italy","Vatican City",3124668,41445,"unification"
1860,"Russia","China",,234000,"cession"
1861,"France","Monaco",,2,"annexation"
1861,"Spain","Dominican Republic",200000,48734,"annexation"
1862,"United Kingdom","Bahrain",,598,"annexation"
1863,"United States","Honduras",,5,"annexation"
1863,"France","Cambodia",1000000,83861,"annexation"
1864,"Germany","Denmark",50147,1046,"cession"
1864,"Germany","Denmark",409907,9194,"cession"
1864,"Greece","United Kingdom",234123,2608,"cession"
1865,"Dominican Republic","Spain",200000,48734,"unknown process"
1865,"United Kingdom","Bhutan",,8889,"annexation"
1866,"Chile","Bolivia",,42896,"cession"
1867,"United States","Russia",54000,1518775,"cession"
1867,"Brazil","Bolivia",,162500,"cession"
1867,"Luxembourg","Netherlands",203851,2567,"secession"
1867,"Thailand","France",,35641,"cession"
1868,"United Kingdom","Lesotho",127700,21885,"annexation"
1868,"Russia","Tajikistan",2000000,156000,"conquest"
1870,"Brazil","Paraguay",,65000,"cession"
1874,"Argentina","Paraguay",,117000,"cession"
1870,"Italy","Vatican City",723161,11790,"unification"
1871,"United Kingdom","Netherlands",120000,27534,"cession"
1871,"Germany","France",1549459,14452,"cession"
1871,"Russia","China",,42900,"annexation"
1872,"United States","United Kingdom",,,"cession"
1872,"Turkey","Qatar",22500,11000,"annexation"
1873,"Russia","Kyrgyzstan",110000,92463,"conquest"
1874,"United Kingdom","Fiji",148040,18272,"annexation"
1875,"Portugal","United Kingdom",,650,"cession"
1875,"Russia","Japan",2358,32348,"cession"
1875,"Japan","Russia",72,4973,"cession"
1876,"United Kingdom","Afghanistan",27270,,"annexation"
1876,"Russia","Turkmenistan",,728000,"conquest"
1878,"Paraguay","Argentina",10,1,"cession"
1878,"United Kingdom","Turkey",186084,9251,"cession"
1878,"Montenegro","Turkey",195585,4584,"secession"
1878,"Montenegro","Turkey",100000,4610,"cession"
1878,"Romania","Turkey",5073000,118213,"secession"
