WARNAME,STATENAME,ISO3C,STARTDAY,STARTMONTH,STARTYEAR,ENDDAY,ENDMONTH,ENDYEAR,TOTAL_WAR_TIME,TOTAL_BATTLE_DEATHS,LAT,LNG,Start_date
Changkufeng,USSR,RUS,29,07,1938,11,08,1938,13,1726,42.445126,130.631813,29/07/1938
World War II,United States of America,USA,07,12,1941,14,08,1945,1346,13365089,52.518553,14.614435,7/12/1941
World War II,Romania,ROU,22,06,1941,23,08,1944,1158,13365089,52.518553,14.614435,22/06/1941
Hungarian Adversaries,Hungary,HUN,16,04,1919,04,08,1919,110,11000,47.738096,22.402331,16/04/1919
Hungarian Adversaries,Romania,ROU,16,04,1919,04,08,1919,110,11000,47.738096,22.402331,16/04/1919
War of Attrition,Egypt,EGY,06,03,1969,07,08,1970,519,5368,30.9629,32.3016,6/03/1969
War of Attrition,Israel,ISR,06,03,1969,07,08,1970,519,5368,30.9629,32.3016,6/03/1969
Second Balkan,Romania,ROU,11,07,1913,30,07,1913,19,60500,41.919138,26.693898,11/07/1913
Second Balkan,Turkey,TUR,15,07,1913,30,07,1913,15,60500,41.919138,26.693898,15/07/1913
Italian Unification,France,FRA,03,05,1859,12,07,1859,70,22500,46.83,11.97,3/05/1859
Third Central American,Honduras,HND,27,05,1906,20,07,1906,54,1000,14.1462,-89.709,27/05/1906
Third Central American,El Salvador,SLV,27,05,1906,20,07,1906,54,1000,14.1462,-89.709,27/05/1906
Third Central American,Guatemala,GTM,27,05,1906,20,07,1906,54,1000,14.1462,-89.709,27/05/1906
Roman Republic,France,FRA,30,04,1849,02,07,1849,63,2600,41.9028,12.4964,30/04/1849
Roman Republic,Papal States,VAT,30,04,1849,02,07,1849,63,2600,41.9028,12.4964,30/04/1849
Italian Unification,Sardinia/Piedmont,ITA,29,04,1859,12,07,1859,74,22500,46.83,11.97,29/04/1859
Korean,Philippines,PHL,16,09,1950,27,07,1953,1045,910084,37.9558,126.677,16/09/1950
Korean,United Kingdom,GBR,29,08,1950,27,07,1953,1063,910084,37.9558,126.677,29/08/1950
World War II,France,FRA,07,07,1940,14,07,1941,372,13365089,52.518553,14.614435,7/07/1940
Football War,El Salvador,SLV,14,07,1969,18,07,1969,4,1900,13.8792,-88.3707,14/07/1969
Football War,Honduras,HND,14,07,1969,18,07,1969,4,1900,13.8792,-88.3707,14/07/1969
Turco_Cypriot,Turkey,TUR,20,07,1974,29,07,1974,9,1500,35.0459,33.2218,20/07/1974
Turco_Cypriot,Cyprus,CYP,20,07,1974,29,07,1974,9,1500,35.0459,33.2218,20/07/1974
Turco_Cypriot,Cyprus,CYP,20,07,1974,29,07,1974,9,1500,35.0459,33.2218,20/07/1974
Seven Weeks,Germany,DEU,15,06,1866,26,07,1866,41,44100,54.13861,9.763035,15/06/1866
Seven Weeks,Italy,ITA,20,06,1866,26,07,1866,36,44100,54.13861,9.763035,20/06/1866
Second Balkan,Bulgaria,BGR,30,06,1913,30,07,1913,30,60500,41.919138,26.693898,30/06/1913
Second Balkan,Greece,GRC,30,06,1913,30,07,1913,30,60500,41.919138,26.693898,30/06/1913
Korean,South Korea,KOR,24,06,1950,27,07,1953,1129,910084,37.9558,126.677,24/06/1950
Korean,United States of America,USA,27,06,1950,27,07,1953,1126,910084,37.9558,126.677,27/06/1950
Korean,North Korea,PRK,24,06,1950,27,07,1953,1129,910084,37.9558,126.677,24/06/1950
Korean,Colombia,COL,06,06,1951,27,07,1953,782,910084,37.9558,126.677,6/06/1951
Korean,Turkey,TUR,18,10,1950,27,07,1953,1013,910084,37.9558,126.677,18/10/1950
Korean,Australia,AUS,10,12,1950,27,07,1953,960,910084,37.9558,126.677,10/12/1950
Korean,China,CHN,27,10,1950,27,07,1953,1004,910084,37.9558,126.677,27/10/1950
Korean,Canada,CAN,19,12,1950,27,07,1953,951,910084,37.9558,126.677,19/12/1950
Arab_Israeli,Syria,SYR,15,05,1948,18,07,1948,64,8000,32.281462,34.851044,15/05/1948
Arab_Israeli,Israel,ISR,15,05,1948,18,07,1948,64,8000,32.281462,34.851044,15/05/1948
Arab_Israeli,Lebanon,LBN,15,05,1948,18,07,1948,64,8000,32.281462,34.851044,15/05/1948
Arab_Israeli,Iraq,IRQ,15,05,1948,18,07,1948,64,8000,32.281462,34.851044,15/05/1948
Arab_Israeli,Jordan,JOR,15,05,1948,18,07,1948,64,8000,32.281462,34.851044,15/05/1948
Arab_Israeli,Egypt,EGY,15,05,1948,18,07,1948,64,8000,32.281462,34.851044,15/05/1948
Korean,Ethiopia,ETH,01,05,1951,27,07,1953,818,910084,37.9558,126.677,1/05/1951
Communist Coalition,United States of America,USA,01,05,1970,02,07,1971,427,6525,19.2248,104.094,1/05/1970
Kargil War,India,IND,08,05,1999,17,07,1999,70,1172,34.1529,73.9277,8/05/1999
Kargil War,Pakistan,PAK,08,05,1999,17,07,1999,70,1172,34.1529,73.9277,8/05/1999
Latvian Liberation,Germany,DEU,16,04,1919,13,07,1919,88,13246,57.396734,27.066578,16/04/1919
Communist Coalition,Vietnam,VNM,23,03,1970,02,07,1971,466,6525,19.2248,104.094,23/03/1970
Communist Coalition,Cambodia,KHM,23,03,1970,02,07,1971,466,6525,19.2248,104.094,23/03/1970
World War II,Ethiopia,ETH,24,01,1941,03,07,1941,160,13365089,52.518553,14.614435,24/01/1941
Korean,Belgium,BEL,20,01,1951,27,07,1953,919,910084,37.9558,126.677,20/01/1951
Korean,France,FRA,01,01,1951,27,07,1953,938,910084,37.9558,126.677,1/01/1951
Korean,Netherlands,NLD,20,01,1951,27,07,1953,919,910084,37.9558,126.677,20/01/1951
Korean,Greece,GRC,20,01,1951,27,07,1953,919,910084,37.9558,126.677,20/01/1951
Korean,Thailand,THA,20,01,1951,27,07,1953,919,910084,37.9558,126.677,20/01/1951
World War II,France,FRA,03,09,1939,22,06,1940,293,13365089,52.518553,14.614435,3/09/1939
Sino_French,China,CHN,15,06,1884,09,06,1885,359,12100,39.9042,116.407,15/06/1884
Sino_French,France,FRA,15,06,1884,09,06,1885,359,12100,39.9042,116.407,15/06/1884
Chaco,Paraguay,PRY,15,06,1932,12,06,1935,1092,92661,-23,-60,15/06/1932
Chaco,Bolivia,BOL,15,06,1932,12,06,1935,1092,92661,-23,-60,15/06/1932
Six Day War,Israel,ISR,05,06,1967,10,06,1967,5,19600,30.9629,32.3016,5/06/1967
Six Day War,Jordan,JOR,05,06,1967,10,06,1967,5,19600,30.9629,32.3016,5/06/1967
Six Day War,Egypt,EGY,05,06,1967,10,06,1967,5,19600,30.9629,32.3016,5/06/1967
Six Day War,Syria,SYR,05,06,1967,10,06,1967,5,19600,30.9629,32.3016,5/06/1967
World War II,Norway,NOR,09,04,1940,09,06,1940,61,13365089,52.518553,14.614435,9/04/1940
Falkland Islands,Argentina,ARG,25,03,1982,15,06,1982,82,1001,-51.7963,-59.5236,25/03/1982
Falkland Islands,United Kingdom,GBR,25,03,1982,15,06,1982,82,1001,-51.7963,-59.5236,25/03/1982
War for Kosovo,Italy,ITA,24,03,1999,10,06,1999,78,5002,42.552398,20.872216,24/03/1999
War for Kosovo,United States of America,USA,24,03,1999,10,06,1999,78,5002,42.552398,20.872216,24/03/1999
War for Kosovo,United Kingdom,GBR,24,03,1999,10,06,1999,78,5002,42.552398,20.872216,24/03/1999
War for Kosovo,Germany,DEU,24,03,1999,10,06,1999,78,5002,42.552398,20.872216,24/03/1999
War for Kosovo,Netherlands,NLD,24,03,1999,10,06,1999,78,5002,42.552398,20.872216,24/03/1999
War for Kosovo,Turkey,TUR,24,03,1999,10,06,1999,78,5002,42.552398,20.872216,24/03/1999
War for Kosovo,France,FRA,24,03,1999,10,06,1999,78,5002,42.552398,20.872216,24/03/1999
Naval War,Chile,CHL,25,09,1865,09,05,1866,226,1000,-13.64,-76.4,25/09/1865
Naval War,Spain,ESP,25,09,1865,09,05,1866,226,1000,-13.64,-76.4,25/09/1865
Greco_Turkish,Turkey,TUR,15,02,1897,19,05,1897,93,2000,35.3387,25.1442,15/02/1897
Greco_Turkish,Greece,GRC,15,02,1897,19,05,1897,93,2000,35.3387,25.1442,15/02/1897
Naval War,Peru,PER,14,01,1866,09,05,1866,115,1000,-13.64,-76.4,14/01/1866
World War II,Bulgaria,BGR,09,09,1944,07,05,1945,240,13365089,52.518553,14.614435,9/09/1944
World War II,Germany,DEU,01,09,1939,07,05,1945,2075,13365089,52.518553,14.614435,1/09/1939
World War II,Romania,ROU,09,09,1944,07,05,1945,240,13365089,52.518553,14.614435,9/09/1944
Second Sino_Japanese,China,CHN,19,12,1931,22,05,1933,520,60000,45.8038,126.535,19/12/1931
