"WAR_YEAR","COUNTRY_GAINING","ISO3C_GAINING","COUNTRY_LOSING","ISO3C_LOSING","POP","AREA","CONSEQUENCE"
1970,"Fiji","FJI","United Kingdom","GBR",524457,18272,"unknown process"
1970,"Tonga","TON","United Kingdom","GBR",87406,700,"unknown process"
1971,"Bahrain","BHR","United Kingdom","GBR",216815,723,"unknown process"
1971,"Bangladesh","BGD","Pakistan","PAK",71300000,144020,"secession"
1971,"India","IND","Pakistan","PAK",5000000,13361,"conquest"
1971,"Iran","IRN","United Arab Emirates","ARE",100,1,"annexation"
1971,"Iran","IRN","United Arab Emirates","ARE",100,1,"conquest"
1971,"Nicaragua","NIC","United States","USA",2116,6,"cession"
1971,"Pakistan","PAK","India","IND",75600,315,"conquest"
1971,"Qatar","QAT","United Kingdom","GBR",160000,11000,"unknown process"
